"","run_id","audio_info","emotion","response","gender","msi1","msi2","msi3","msi4","msi5"
"184",16,"001.mp3","fear","37","Female","10 or more","3-4","1","6-9","2"
"185",16,"001.mp3","anger","11","Female","10 or more","3-4","1","6-9","2"
"186",16,"061.mp3","happy","3","Female","10 or more","3-4","1","6-9","2"
"187",16,"061.mp3","sad","64","Female","10 or more","3-4","1","6-9","2"
"188",16,"061.mp3","tender","61","Female","10 or more","3-4","1","6-9","2"
"189",16,"061.mp3","fear","19","Female","10 or more","3-4","1","6-9","2"
"190",16,"061.mp3","anger","57","Female","10 or more","3-4","1","6-9","2"
"191",16,"151.mp3","happy","69","Female","10 or more","3-4","1","6-9","2"
"192",16,"151.mp3","sad","39","Female","10 or more","3-4","1","6-9","2"
"193",16,"151.mp3","tender","66","Female","10 or more","3-4","1","6-9","2"
"194",16,"151.mp3","fear","61","Female","10 or more","3-4","1","6-9","2"
"195",16,"151.mp3","anger","38","Female","10 or more","3-4","1","6-9","2"
"196",16,"091.mp3","happy","32","Female","10 or more","3-4","1","6-9","2"
"197",16,"091.mp3","sad","39","Female","10 or more","3-4","1","6-9","2"
"198",16,"091.mp3","tender","62","Female","10 or more","3-4","1","6-9","2"
"199",16,"091.mp3","fear","22","Female","10 or more","3-4","1","6-9","2"
"200",16,"091.mp3","anger","30","Female","10 or more","3-4","1","6-9","2"
"201",16,"031.mp3","happy","66","Female","10 or more","3-4","1","6-9","2"
"202",16,"031.mp3","sad","40","Female","10 or more","3-4","1","6-9","2"
"203",16,"031.mp3","tender","69","Female","10 or more","3-4","1","6-9","2"
"204",16,"031.mp3","fear","59","Female","10 or more","3-4","1","6-9","2"
"205",16,"031.mp3","anger","36","Female","10 or more","3-4","1","6-9","2"
"206",16,"121.mp3","happy","57","Female","10 or more","3-4","1","6-9","2"
"207",16,"121.mp3","sad","63","Female","10 or more","3-4","1","6-9","2"
"208",16,"121.mp3","tender","63","Female","10 or more","3-4","1","6-9","2"
"209",16,"121.mp3","fear","33","Female","10 or more","3-4","1","6-9","2"
"210",16,"121.mp3","anger","71","Female","10 or more","3-4","1","6-9","2"
"211",19,"151.mp3","happy","65","Female","2","0.5","2","2","0"
"212",19,"151.mp3","sad","46","Female","2","0.5","2","2","0"
"213",19,"151.mp3","tender","0","Female","2","0.5","2","2","0"
"214",19,"151.mp3","fear","82","Female","2","0.5","2","2","0"
"215",19,"151.mp3","anger","0","Female","2","0.5","2","2","0"
"216",19,"001.mp3","happy","100","Female","2","0.5","2","2","0"
"217",19,"001.mp3","sad","0","Female","2","0.5","2","2","0"
"218",19,"001.mp3","tender","57","Female","2","0.5","2","2","0"
"219",19,"001.mp3","fear","0","Female","2","0.5","2","2","0"
