success;trial_type;trial_index;time_elapsed;internal_node_id;run_id;condition;recorded_at;source_code_version;ip;user_agent;device;browser;browser_version;platform;platform_version;rt;stimulus;response;task;timeout;failed_images;failed_audio;failed_video;slider_start
true;preload;3;3602;0.0-3.0;18;1;2023-07-28 12:53:00;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36";WebKit;Chrome;115.0.0.0;Windows;10.0;;;;;false;[];[];[];
;audio-slider-response;4;13375;0.0-4.0-0.0;18;1;2023-07-28 12:53:00;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36";WebKit;Chrome;115.0.0.0;Windows;10.0;9520;mid_complex_2.wav;85;audio_slider;;;;;50
;audio-slider-response;5;23320;0.0-4.0-0.1;18;1;2023-07-28 12:53:00;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36";WebKit;Chrome;115.0.0.0;Windows;10.0;9728;mid_complex_1.wav;83;audio_slider;;;;;50
;audio-slider-response;6;34230;0.0-4.0-0.2;18;1;2023-07-28 12:53:00;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36";WebKit;Chrome;115.0.0.0;Windows;10.0;10691;low_complex_2.wav;48;audio_slider;;;;;50
;audio-slider-response;7;43911;0.0-4.0-0.3;18;1;2023-07-28 12:53:00;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36";WebKit;Chrome;115.0.0.0;Windows;10.0;9451;low_complex_1.wav;61;audio_slider;;;;;50
;audio-slider-response;8;54241;0.0-4.0-0.4;18;1;2023-07-28 12:53:00;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36";WebKit;Chrome;115.0.0.0;Windows;10.0;10048;high_complex_1.wav;40;audio_slider;;;;;50
;audio-slider-response;9;64823;0.0-4.0-0.5;18;1;2023-07-28 12:53:00;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36";WebKit;Chrome;115.0.0.0;Windows;10.0;10349;high_complex_2.wav;38;audio_slider;;;;;50
;html-button-response;10;68851;0.0-5.0;18;1;2023-07-28 12:53:00;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36";WebKit;Chrome;115.0.0.0;Windows;10.0;4027;<p>On the next slide we will ask you to define your <b>musical experience</b>. <p></p> <b>Non-musician</b> means you don't regularly play an instrument. <p></p> <b>Amateur musician</b> means you regularly play an instrument as a hobby, but you do not get paid. <p></p> <b>Music student</b> means you are engaged in formal music education. <p></p> <b>Semi-professional musician</b> means you get paid to play, but it is not your primary source of income. <p></p> <b>Professional musican</b> means that playing music is your primary source of income.  </p>;0;instruction2;;;;;
;html-button-response;11;71649;0.0-6.0;18;1;2023-07-28 12:53:00;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36";WebKit;Chrome;115.0.0.0;Windows;10.0;2797;<p>How would you define your musical experience?</p>;1;text_button_response;;;;;
true;fullscreen;12;72664;0.0-7.0;18;1;2023-07-28 12:53:00;57e32b63417d99daabf003b405236eda;;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36";WebKit;Chrome;115.0.0.0;Windows;10.0;;;;;;;;;
